kd,test_type,mean_freq_mhz,std_freq_mhz,mean_power_w,std_power_w,energy_j,duration_s
k0s,idle,700.684145902547,6.0980619470676025,3.430120809480409,0.008811457172466139,1029.028388160866,300
k0s,cp_heavy_12client,905.5245532059315,202.64468004507816,3.826071476459823,0.46615789418611,1262.7998351264196,330
k3s,idle,674.3266971533516,9.841295276173192,3.39382799252771,0.014476354496483795,1018.1354795484787,300
k3s,cp_heavy_12client,839.5504974455612,201.7284818537367,3.714985336177956,0.4647007343771393,1233.4195592984706,332
k3s,dp_redis_density,1329.3692832307693,308.10400745140413,4.8640746449582135,0.7212395730066371,4177.824752036047,862
k8s,idle,676.6619218232045,6.919046161081686,3.3969511270699573,0.009898760714099264,1018.9399306078803,300
k8s,cp_heavy_12client,787.5779316167292,162.85672510150576,3.61753871997082,0.38205359366949326,1221.9974048824697,338
k8s,dp_redis_density,1287.968661965377,296.9683744615116,4.767069406437565,0.7035727970373824,4093.491468168223,865
kubeEdge,idle,708.7817418981481,7.039078788272244,3.4440573341159517,0.010272641905638428,1026.3260909038863,298
kubeEdge,cp_heavy_12client,836.8905277131784,108.07162349330808,3.694427575222992,0.24117789679134874,2469.2680241968774,669
kubeEdge,dp_redis_density,1284.816753534168,293.24467855373933,4.747815734597356,0.7081667995530638,3808.623923107626,808
openYurt,idle,698.2952953125001,4.712868882229297,3.4297555406178075,0.006933880945471655,1022.0857825164243,298
openYurt,cp_heavy_12client,849.5181023474179,164.41312236159183,3.745699026354049,0.39872927714875456,1398.0618423936537,374
openYurt,dp_redis_density,1315.7421394432772,323.76515024013565,4.849535855319013,0.7663188474544423,3839.1695286491167,791
