test_type,kd,irq_rate_mean,irq_rate_std,kruskal_h,kruskal_p,significance
idle,k0s,1176.0263374975575,7.759480863714025,23.07692307692308,0.00012222331995353944,***
idle,k3s,993.4297565393097,15.736419506020338,23.07692307692308,0.00012222331995353944,***
idle,k8s,937.1015377963771,4.078411489255278,23.07692307692308,0.00012222331995353944,***
idle,kubeEdge,1239.881215352111,7.43528763633465,23.07692307692308,0.00012222331995353944,***
idle,openYurt,1309.7249662381112,4.911384217357001,23.07692307692308,0.00012222331995353944,***
cp_heavy_12client,k0s,3328.8099832485896,17.705692298149152,22.45661538461539,0.00016254525126029832,***
cp_heavy_12client,k3s,3151.609163653831,38.12582988513078,22.45661538461539,0.00016254525126029832,***
cp_heavy_12client,k8s,2663.3067215664496,25.291695792071753,22.45661538461539,0.00016254525126029832,***
cp_heavy_12client,kubeEdge,4200.099599794876,278.24285402262626,22.45661538461539,0.00016254525126029832,***
cp_heavy_12client,openYurt,3812.0503978966276,74.40552052546474,22.45661538461539,0.00016254525126029832,***
dp_redis_density,k0s,2141.5536206720517,127.40927868932866,15.323076923076925,0.004075971713992017,**
dp_redis_density,k3s,2147.4900873539746,137.91337537108913,15.323076923076925,0.004075971713992017,**
dp_redis_density,k8s,1963.9116760783304,23.53483474096221,15.323076923076925,0.004075971713992017,**
dp_redis_density,kubeEdge,2275.1011228908988,52.5695509978329,15.323076923076925,0.004075971713992017,**
dp_redis_density,openYurt,2251.535115828277,4.202107313911821,15.323076923076925,0.004075971713992017,**
