kd,test_type,total_irq_rate_mean,total_irq_rate_std
k0s,idle,1176.0603615620155,96.67515785710061
k0s,cp_heavy_12client,8284.279820802256,9626.947105468767
k0s,dp_redis_density,2669.2889448740457,1059.8091711681025
k3s,idle,2487.907246520661,555.5051489230597
k3s,cp_heavy_12client,5225.7839199725295,5113.730675653264
k3s,dp_redis_density,2678.726038072205,1162.809166943168
k8s,idle,1563.5756740325962,442.57153909569007
k8s,cp_heavy_12client,3321.2804904852687,3788.6051084569476
k8s,dp_redis_density,3237.3008406458252,1235.0845042024084
kubeEdge,idle,2066.468692253519,604.8683903660971
kubeEdge,cp_heavy_12client,5219.853020650247,3138.8555540415164
kubeEdge,dp_redis_density,2840.7139880708396,1065.7788664209984
openYurt,idle,1637.156207797639,567.7830754609142
openYurt,cp_heavy_12client,4762.580341656455,4130.411593280884
openYurt,dp_redis_density,3750.9805512815124,1252.0405429650925
