hostname,pod_uuid,qos_class,metric,units,mean,std,n_runs,role,pod_label
node_2,pod04fbd389-0b9e-488d-8a21-997668c7629d,burstable,cpu_pct,%,1.014276,0.019153,5,system,04fbd389
node_2,pod04fbd389-0b9e-488d-8a21-997668c7629d,burstable,cpu_pressure,%,0.000000,0.000000,5,system,04fbd389
node_2,pod04fbd389-0b9e-488d-8a21-997668c7629d,burstable,mem_mib,MiB,15.100041,0.226752,5,system,04fbd389
node_2,pod04fbd389-0b9e-488d-8a21-997668c7629d,burstable,mem_pressure,%,0.000000,0.000000,5,system,04fbd389
node_2,pod04fbd389-0b9e-488d-8a21-997668c7629d,burstable,mem_util_pct,%,8.148426,0.254054,5,system,04fbd389
node_2,pod04fbd389-0b9e-488d-8a21-997668c7629d,burstable,net_kbps,kbit/s,0.047251,0.022982,5,system,04fbd389
node_2,pod04fbd389-0b9e-488d-8a21-997668c7629d,burstable,pgfaults,faults/s,0.001031,0.000677,5,system,04fbd389
node_2,pod04fbd389-0b9e-488d-8a21-997668c7629d,burstable,throttled,events/s,0.000000,0.000000,5,system,04fbd389
node_2,pod49c27a47-d6b5-406b-9b0c-f9ba8dd0f44b,besteffort,cpu_pct,%,0.126789,0.002182,5,system,49c27a47
node_2,pod49c27a47-d6b5-406b-9b0c-f9ba8dd0f44b,besteffort,cpu_pressure,%,0.000000,0.000000,5,system,49c27a47
node_2,pod49c27a47-d6b5-406b-9b0c-f9ba8dd0f44b,besteffort,mem_mib,MiB,4.481797,0.123611,5,system,49c27a47
node_2,pod49c27a47-d6b5-406b-9b0c-f9ba8dd0f44b,besteffort,mem_pressure,%,0.000000,0.000000,5,system,49c27a47
node_2,pod49c27a47-d6b5-406b-9b0c-f9ba8dd0f44b,besteffort,mem_util_pct,%,0.000000,0.000000,5,system,49c27a47
node_2,pod49c27a47-d6b5-406b-9b0c-f9ba8dd0f44b,besteffort,net_kbps,kbit/s,0.458871,0.002770,5,system,49c27a47
node_2,pod49c27a47-d6b5-406b-9b0c-f9ba8dd0f44b,besteffort,pgfaults,faults/s,0.000161,0.000305,5,system,49c27a47
node_2,pod49c27a47-d6b5-406b-9b0c-f9ba8dd0f44b,besteffort,throttled,events/s,0.000000,0.000000,5,system,49c27a47
node_2,podc240079d-c524-404e-aa4e-2847580cfe07,besteffort,cpu_pct,%,0.115730,0.007690,5,system,c240079d
node_2,podc240079d-c524-404e-aa4e-2847580cfe07,besteffort,cpu_pressure,%,0.000000,0.000000,5,system,c240079d
node_2,podc240079d-c524-404e-aa4e-2847580cfe07,besteffort,mem_mib,MiB,12.187314,0.120675,5,system,c240079d
node_2,podc240079d-c524-404e-aa4e-2847580cfe07,besteffort,mem_pressure,%,0.000000,0.000000,5,system,c240079d
node_2,podc240079d-c524-404e-aa4e-2847580cfe07,besteffort,mem_util_pct,%,0.000000,0.000000,5,system,c240079d
node_2,podc240079d-c524-404e-aa4e-2847580cfe07,besteffort,pgfaults,faults/s,0.023811,0.002305,5,system,c240079d
node_2,podc240079d-c524-404e-aa4e-2847580cfe07,besteffort,throttled,events/s,0.000000,0.000000,5,system,c240079d
node_2,podccc9f946-c476-47b8-a7c2-d7bf61af0e77,burstable,cpu_pct,%,0.265153,0.009967,5,system,ccc9f946
node_2,podccc9f946-c476-47b8-a7c2-d7bf61af0e77,burstable,cpu_pressure,%,0.000000,0.000000,5,system,ccc9f946
node_2,podccc9f946-c476-47b8-a7c2-d7bf61af0e77,burstable,io_kibs,KiB/s,0.000000,0.000000,5,system,ccc9f946
node_2,podccc9f946-c476-47b8-a7c2-d7bf61af0e77,burstable,mem_mib,MiB,14.556469,0.263091,5,system,ccc9f946
node_2,podccc9f946-c476-47b8-a7c2-d7bf61af0e77,burstable,mem_pressure,%,0.000000,0.000000,5,system,ccc9f946
node_2,podccc9f946-c476-47b8-a7c2-d7bf61af0e77,burstable,mem_util_pct,%,0.000000,0.000000,5,system,ccc9f946
node_2,podccc9f946-c476-47b8-a7c2-d7bf61af0e77,burstable,pgfaults,faults/s,0.040737,0.000595,5,system,ccc9f946
node_2,podccc9f946-c476-47b8-a7c2-d7bf61af0e77,burstable,throttled,events/s,0.000000,0.000000,5,system,ccc9f946
